user_id,event_type,event_time,platform
1,signup,2026-02-17 15:01:38.168430,android
1,login,2026-02-17 15:01:38.168430,android
1,view_note,2026-02-17 15:01:38.168430,android
1,login,2026-02-18 15:01:38.168430,android
1,view_note,2026-02-18 15:01:38.168430,android
1,login,2026-02-21 15:01:38.168430,android
1,view_note,2026-02-21 15:01:38.168430,android
1,login,2026-02-22 15:01:38.168430,android
1,view_note,2026-02-22 15:01:38.168430,android
1,create_note,2026-02-22 15:01:38.168430,android
1,login,2026-02-23 15:01:38.168430,android
1,view_note,2026-02-23 15:01:38.168430,android
1,login,2026-02-25 15:01:38.168430,android
1,view_note,2026-02-25 15:01:38.168430,android
1,create_note,2026-02-25 15:01:38.168430,android
1,login,2026-02-26 15:01:38.168430,android
1,view_note,2026-02-26 15:01:38.168430,android
1,create_note,2026-02-26 15:01:38.168430,android
1,login,2026-02-27 15:01:38.168430,android
1,view_note,2026-02-27 15:01:38.168430,android
1,login,2026-03-01 15:01:38.168430,android
1,view_note,2026-03-01 15:01:38.168430,android
1,create_note,2026-03-01 15:01:38.168430,android
1,login,2026-03-02 15:01:38.168430,android
1,view_note,2026-03-02 15:01:38.168430,android
1,create_note,2026-03-02 15:01:38.168430,android
1,login,2026-03-03 15:01:38.168430,android
1,view_note,2026-03-03 15:01:38.168430,android
1,create_note,2026-03-03 15:01:38.168430,android
1,login,2026-03-05 15:01:38.168430,android
1,view_note,2026-03-05 15:01:38.168430,android
1,create_note,2026-03-05 15:01:38.168430,android
1,login,2026-03-06 15:01:38.168430,android
1,view_note,2026-03-06 15:01:38.168430,android
1,create_note,2026-03-06 15:01:38.168430,android
1,login,2026-03-08 15:01:38.168430,android
1,view_note,2026-03-08 15:01:38.168430,android
1,login,2026-03-10 15:01:38.168430,android
1,view_note,2026-03-10 15:01:38.168430,android
1,login,2026-03-11 15:01:38.168430,android
1,login,2026-03-13 15:01:38.168430,android
1,view_note,2026-03-13 15:01:38.168430,android
1,create_note,2026-03-13 15:01:38.168430,android
1,login,2026-03-14 15:01:38.168430,android
1,login,2026-03-16 15:01:38.168430,android
1,view_note,2026-03-16 15:01:38.168430,android
1,create_note,2026-03-16 15:01:38.168430,android
2,signup,2026-02-21 15:01:38.168430,ios
2,login,2026-02-21 15:01:38.168430,ios
2,view_note,2026-02-21 15:01:38.168430,ios
2,create_note,2026-02-21 15:01:38.168430,ios
2,login,2026-02-27 15:01:38.168430,ios
2,login,2026-02-28 15:01:38.168430,ios
2,view_note,2026-02-28 15:01:38.168430,ios
2,login,2026-03-04 15:01:38.168430,ios
2,view_note,2026-03-04 15:01:38.168430,ios
2,login,2026-03-05 15:01:38.168430,ios
2,view_note,2026-03-05 15:01:38.168430,ios
2,create_note,2026-03-05 15:01:38.168430,ios
2,login,2026-03-06 15:01:38.168430,ios
2,view_note,2026-03-06 15:01:38.168430,ios
2,login,2026-03-13 15:01:38.168430,ios
2,create_note,2026-03-13 15:01:38.168430,ios
2,login,2026-03-16 15:01:38.168430,ios
2,view_note,2026-03-16 15:01:38.168430,ios
2,login,2026-03-17 15:01:38.168430,ios
2,view_note,2026-03-17 15:01:38.168430,ios
2,login,2026-03-19 15:01:38.168430,ios
2,view_note,2026-03-19 15:01:38.168430,ios
3,signup,2026-02-21 15:01:38.168430,web
3,login,2026-02-22 15:01:38.168430,web
3,view_note,2026-02-22 15:01:38.168430,web
3,login,2026-02-23 15:01:38.168430,web
3,view_note,2026-02-23 15:01:38.168430,web
3,login,2026-02-24 15:01:38.168430,web
3,view_note,2026-02-24 15:01:38.168430,web
3,login,2026-02-27 15:01:38.168430,web
3,create_note,2026-02-27 15:01:38.168430,web
3,login,2026-02-28 15:01:38.168430,web
3,login,2026-03-01 15:01:38.168430,web
3,view_note,2026-03-01 15:01:38.168430,web
3,login,2026-03-02 15:01:38.168430,web
3,create_note,2026-03-02 15:01:38.168430,web
3,login,2026-03-03 15:01:38.168430,web
3,create_note,2026-03-03 15:01:38.168430,web
3,login,2026-03-04 15:01:38.168430,web
3,view_note,2026-03-04 15:01:38.168430,web
3,login,2026-03-05 15:01:38.168430,web
3,view_note,2026-03-05 15:01:38.168430,web
3,login,2026-03-06 15:01:38.168430,web
3,login,2026-03-07 15:01:38.168430,web
